Nome,E-mail,Telefone,CPF,Data de nascimento
Charles Percival Leclerc,charlesleclerc@email.com,(49) 92361-2598,83085126406,22/07/1995
Ayrton Senna da Silva,ayrtonsenna@email.com.br,(95) 92589-4243,18440126387,19/03/1959
Michael Schumacher,schumacher@email.com.br,(67) 92846-3472,80544915143,17/10/2004
Lewis Hamilton,hamilton@email.com,(85) 92657-6956,48275258979,17/06/1999
Sebastian Vettel,vettel@email.com,(44) 92891-2952,877-691-581.68,15/12/1997
Max Emilian Verstappen,maxmax@email.com,(64) 92967-8938,71642300721,04/03/1994
Nelson Piquet Souto Maior,piquetpiquet@email.com,(28) 93481-2521,84658458594,19/11/1964
James Hunt,jameshunt@email.com.br,(98) 93602-3624,826.580.743-01,13 05 1973
Niki Lauda,laudaniki@email.com,(13) 92977-7223,752.473.458-19,22111996
Alain Prost,alainprost@email.com,(28) 3547-5161,764.682.144-67,28.03.1984
